month,route,airline,passengers,average_fare,fuel_surcharge,source
2026-01,DEL-BOM,IndiGo,210500,5420.0,400.0,DGCA_REPORT_JAN2026
2026-01,DEL-BLR,IndiGo,189400,5890.0,450.0,DGCA_REPORT_JAN2026
2026-01,BOM-BLR,IndiGo,142300,4320.0,350.0,DGCA_REPORT_JAN2026
2026-01,DEL-CCU,IndiGo,128900,5110.0,400.0,DGCA_REPORT_JAN2026
2026-01,BLR-HYD,IndiGo,115400,3290.0,300.0,DGCA_REPORT_JAN2026
2026-01,MAA-DEL,IndiGo,118200,5670.0,420.0,DGCA_REPORT_JAN2026
2026-01,BOM-DEL,IndiGo,204200,5390.0,400.0,DGCA_REPORT_JAN2026
2026-01,BLR-DEL,IndiGo,182100,5820.0,450.0,DGCA_REPORT_JAN2026
2026-01,HYD-DEL,IndiGo,112300,4890.0,380.0,DGCA_REPORT_JAN2026
2026-01,CCU-DEL,IndiGo,123400,5080.0,400.0,DGCA_REPORT_JAN2026
2026-01,BOM-GOI,IndiGo,88900,3850.0,320.0,DGCA_REPORT_JAN2026
2026-01,DEL-GOI,IndiGo,84500,6420.0,480.0,DGCA_REPORT_JAN2026
2026-01,BLR-GOI,IndiGo,67800,3410.0,300.0,DGCA_REPORT_JAN2026
2026-02,DEL-BOM,IndiGo,218000,5510.0,410.0,DGCA_REPORT_FEB2026
2026-02,DEL-BLR,IndiGo,192000,5980.0,460.0,DGCA_REPORT_FEB2026
2026-02,BOM-BLR,IndiGo,145000,4390.0,360.0,DGCA_REPORT_FEB2026
2026-02,DEL-CCU,IndiGo,131000,5190.0,410.0,DGCA_REPORT_FEB2026
2026-02,BLR-HYD,IndiGo,117000,3340.0,310.0,DGCA_REPORT_FEB2026
2026-02,MAA-DEL,IndiGo,120000,5760.0,430.0,DGCA_REPORT_FEB2026
2026-02,BOM-DEL,IndiGo,210000,5480.0,410.0,DGCA_REPORT_FEB2026
2026-02,BLR-DEL,IndiGo,185000,5910.0,460.0,DGCA_REPORT_FEB2026
2026-02,HYD-DEL,IndiGo,114000,4960.0,390.0,DGCA_REPORT_FEB2026
2026-02,CCU-DEL,IndiGo,125000,5150.0,410.0,DGCA_REPORT_FEB2026
2026-02,BOM-GOI,IndiGo,91000,3920.0,330.0,DGCA_REPORT_FEB2026
2026-02,DEL-GOI,IndiGo,86000,6540.0,490.0,DGCA_REPORT_FEB2026
2026-02,BLR-GOI,IndiGo,69000,3470.0,310.0,DGCA_REPORT_FEB2026
2026-03,DEL-BOM,IndiGo,224000,5680.0,420.0,DGCA_REPORT_MAR2026
2026-03,DEL-BLR,IndiGo,198000,6120.0,470.0,DGCA_REPORT_MAR2026
2026-03,BOM-BLR,IndiGo,149000,4490.0,370.0,DGCA_REPORT_MAR2026
2026-03,DEL-CCU,IndiGo,135000,5310.0,420.0,DGCA_REPORT_MAR2026
2026-03,BLR-HYD,IndiGo,121000,3420.0,320.0,DGCA_REPORT_MAR2026
2026-03,MAA-DEL,IndiGo,123000,5890.0,440.0,DGCA_REPORT_MAR2026
2026-03,BOM-DEL,IndiGo,216000,5640.0,420.0,DGCA_REPORT_MAR2026
2026-03,BLR-DEL,IndiGo,191000,6070.0,470.0,DGCA_REPORT_MAR2026
2026-03,HYD-DEL,IndiGo,117000,5080.0,400.0,DGCA_REPORT_MAR2026
2026-03,CCU-DEL,IndiGo,129000,5280.0,420.0,DGCA_REPORT_MAR2026
2026-03,BOM-GOI,IndiGo,94000,4020.0,340.0,DGCA_REPORT_MAR2026
2026-03,DEL-GOI,IndiGo,89000,6710.0,500.0,DGCA_REPORT_MAR2026
2026-03,BLR-GOI,IndiGo,71000,3560.0,320.0,DGCA_REPORT_MAR2026
